cnt,season,hr,workingday,weathersit,temp,atemp,hum,windspeed,intercept
135,1,22,1,1,0.36,0.3485,0.5,0.194,1.0
3,1,5,0,2,0.3,0.2727,0.42,0.2985,1.0
149,1,10,0,1,0.16,0.2273,0.47,0.0,1.0
87,1,7,1,1,0.14,0.2121,0.59,0.0,1.0
232,2,20,1,1,0.64,0.5909,0.78,0.1045,1.0
164,4,10,1,1,0.32,0.3333,0.7,0.1045,1.0
29,3,13,1,3,0.54,0.5152,0.88,0.2985,1.0
211,1,14,1,1,0.58,0.5455,0.35,0.2239,1.0
229,3,11,1,2,0.76,0.7121,0.58,0.1343,1.0
308,2,15,1,1,0.66,0.6212,0.24,0.3284,1.0
420,4,13,0,1,0.6,0.6061,0.6,0.2239,1.0
21,3,5,1,1,0.66,0.6212,0.74,0.1343,1.0
88,4,23,1,1,0.32,0.3333,0.66,0.1343,1.0
30,1,0,0,1,0.16,0.197,0.69,0.0896,1.0
10,4,4,1,2,0.56,0.5303,0.68,0.2239,1.0
91,1,11,0,1,0.34,0.2879,0.46,0.5821,1.0
373,3,18,1,2,0.54,0.5152,0.88,0.3881,1.0
188,3,12,1,2,0.8,0.7727,0.59,0.2239,1.0
7,3,3,1,1,0.64,0.5758,0.83,0.1045,1.0
382,3,18,0,2,0.72,0.6515,0.45,0.2537,1.0
149,4,22,0,1,0.5,0.4848,0.77,0.0,1.0
489,4,18,1,1,0.56,0.5303,0.56,0.2836,1.0
2,1,4,0,3,0.16,0.1364,0.8,0.2836,1.0
226,4,12,1,2,0.36,0.3182,0.53,0.4478,1.0
8,2,3,1,2,0.5,0.4848,0.88,0.194,1.0
147,3,12,1,1,0.84,0.7273,0.28,0.0,1.0
614,3,19,1,3,0.74,0.6818,0.62,0.3582,1.0
157,3,6,1,1,0.62,0.2424,0.78,0.1343,1.0
50,2,2,0,1,0.42,0.4242,0.77,0.1045,1.0
358,3,16,1,1,0.84,0.7727,0.47,0.0896,1.0
239,2,19,0,1,0.56,0.5303,0.64,0.0,1.0
98,1,22,1,2,0.24,0.2424,0.87,0.1343,1.0
231,2,20,0,1,0.64,0.6061,0.65,0.1642,1.0
87,4,21,0,1,0.3,0.2727,0.52,0.2985,1.0
601,2,17,1,1,0.74,0.6667,0.51,0.2239,1.0
196,4,21,0,1,0.56,0.5303,0.73,0.4478,1.0
5,2,4,1,3,0.56,0.5303,0.88,0.2239,1.0
3,2,4,0,1,0.28,0.303,0.7,0.0896,1.0
32,1,13,1,3,0.46,0.4545,0.94,0.2239,1.0
117,3,1,0,1,0.54,0.5152,0.64,0.0,1.0
192,4,21,1,2,0.4,0.4091,0.5,0.194,1.0
32,1,2,0,2,0.4,0.4091,0.82,0.2836,1.0
310,2,20,1,1,0.64,0.5758,0.83,0.2239,1.0
543,3,18,1,1,0.78,0.697,0.43,0.194,1.0
12,3,5,0,1,0.64,0.6061,0.69,0.2239,1.0
221,3,13,1,1,0.74,0.6515,0.37,0.1045,1.0
206,1,19,1,1,0.26,0.2424,0.38,0.2836,1.0
524,2,13,0,1,0.74,0.6818,0.55,0.1343,1.0
44,4,0,1,1,0.34,0.3182,0.66,0.2537,1.0
167,1,20,1,2,0.5,0.4848,0.94,0.3582,1.0
284,3,12,1,1,0.8,0.7424,0.49,0.1045,1.0
108,1,10,1,2,0.3,0.303,0.81,0.1343,1.0
89,1,14,1,2,0.36,0.3333,0.5,0.3582,1.0
6,4,6,0,2,0.34,0.3636,0.87,0.0,1.0
26,4,3,0,1,0.26,0.2576,0.6,0.194,1.0
151,4,21,0,2,0.4,0.4091,0.76,0.2239,1.0
563,4,17,1,1,0.34,0.3333,0.31,0.1343,1.0
498,3,13,0,1,0.86,0.7879,0.41,0.2836,1.0
212,1,14,1,1,0.64,0.6212,0.53,0.3284,1.0
432,2,10,0,1,0.66,0.6212,0.34,0.2985,1.0
150,4,14,1,1,0.4,0.4091,0.4,0.2239,1.0
505,3,17,1,1,0.7,0.6667,0.79,0.2537,1.0
89,1,20,1,2,0.26,0.2576,0.6,0.1642,1.0
36,3,6,0,1,0.68,0.6364,0.79,0.0,1.0
34,4,0,1,2,0.26,0.303,0.65,0.0,1.0
239,2,11,1,1,0.5,0.4848,0.36,0.0,1.0
12,3,4,1,1,0.68,0.6364,0.65,0.194,1.0
623,1,8,1,1,0.44,0.4394,0.77,0.1045,1.0
6,3,4,1,1,0.72,0.6818,0.7,0.1343,1.0
127,3,22,1,2,0.62,0.5455,0.94,0.0,1.0
134,2,22,1,2,0.52,0.5,0.55,0.1642,1.0
94,2,11,1,2,0.6,0.5758,0.78,0.1045,1.0
73,2,0,1,1,0.54,0.5152,0.68,0.5522,1.0
71,4,6,1,1,0.22,0.2576,0.44,0.0896,1.0
376,3,17,0,1,0.76,0.7273,0.66,0.2239,1.0
242,4,14,0,1,0.3,0.3333,0.28,0.0,1.0
562,4,12,0,1,0.62,0.6212,0.46,0.3284,1.0
312,2,20,1,1,0.44,0.4394,0.41,0.194,1.0
255,3,14,1,1,0.82,0.7424,0.41,0.2239,1.0
136,2,19,1,1,0.34,0.303,0.49,0.3284,1.0
16,1,1,0,2,0.2,0.197,0.44,0.194,1.0
160,2,19,1,1,0.36,0.3333,0.43,0.2985,1.0
133,1,18,0,1,0.3,0.2576,0.28,0.5821,1.0
102,4,0,0,1,0.3,0.3182,0.61,0.1045,1.0
214,4,14,1,2,0.36,0.3485,0.53,0.194,1.0
301,2,13,1,1,0.48,0.4697,0.29,0.6866,1.0
201,2,9,1,3,0.46,0.4545,0.88,0.1642,1.0
652,3,19,1,1,0.74,0.697,0.66,0.2537,1.0
4,4,4,1,2,0.4,0.4091,0.62,0.4179,1.0
18,4,1,1,1,0.44,0.4394,0.77,0.0896,1.0
272,2,17,0,2,0.56,0.5303,0.88,0.194,1.0
220,1,11,1,2,0.62,0.6212,0.41,0.1642,1.0
328,1,19,1,1,0.48,0.4697,0.41,0.3284,1.0
200,4,11,1,1,0.4,0.4091,0.54,0.2239,1.0
180,4,13,1,2,0.6,0.5909,0.73,0.194,1.0
239,3,23,1,1,0.68,0.6364,0.57,0.2985,1.0
614,2,13,0,1,0.64,0.6212,0.53,0.1642,1.0
320,4,17,0,2,0.34,0.3485,0.76,0.1045,1.0
318,4,7,1,1,0.42,0.4242,0.77,0.4478,1.0
581,4,16,0,1,0.64,0.6212,0.41,0.2985,1.0
474,3,16,0,1,0.74,0.697,0.7,0.0,1.0
219,2,13,1,3,0.64,0.6061,0.65,0.2537,1.0
402,2,7,1,2,0.64,0.5758,0.89,0.194,1.0
126,1,10,1,3,0.48,0.4697,1.0,0.1642,1.0
156,3,9,0,2,0.7,0.6667,0.84,0.4179,1.0
9,2,1,1,2,0.52,0.5,0.59,0.2239,1.0
118,1,22,0,1,0.4,0.4091,0.4,0.4478,1.0
136,1,20,1,1,0.24,0.2424,0.41,0.1642,1.0
791,3,18,1,1,0.76,0.6667,0.27,0.4478,1.0
143,2,21,0,2,0.4,0.4091,0.71,0.3284,1.0
578,2,17,0,1,0.7,0.6364,0.34,0.2537,1.0
14,4,1,1,1,0.24,0.2879,0.65,0.0,1.0
10,3,4,1,1,0.7,0.6515,0.65,0.1642,1.0
58,1,10,1,1,0.24,0.2121,0.6,0.2985,1.0
42,1,21,0,1,0.24,0.2879,0.7,0.0,1.0
244,4,12,1,1,0.36,0.3333,0.43,0.3284,1.0
326,3,15,1,1,0.7,0.6364,0.28,0.1045,1.0
296,3,21,1,1,0.76,0.7121,0.62,0.194,1.0
313,4,13,0,1,0.54,0.5152,0.6,0.194,1.0
162,4,15,1,1,0.52,0.5,0.52,0.1642,1.0
73,1,1,0,1,0.3,0.2727,0.28,0.3582,1.0
73,1,13,1,1,0.2,0.1515,0.21,0.5821,1.0
6,1,3,0,2,0.46,0.4545,0.94,0.194,1.0
100,2,9,0,2,0.52,0.5,0.94,0.0896,1.0
11,3,3,1,1,0.6,0.5455,0.88,0.1045,1.0
368,3,13,1,1,0.88,0.7576,0.27,0.3284,1.0
85,3,0,1,1,0.7,0.6515,0.65,0.0896,1.0
39,1,0,0,1,0.26,0.2576,0.7,0.194,1.0
153,1,19,1,1,0.28,0.2576,0.45,0.2985,1.0
127,3,8,0,2,0.7,0.6667,0.84,0.1045,1.0
430,1,17,1,1,0.4,0.4091,0.43,0.2537,1.0
596,3,15,0,1,0.76,0.6667,0.37,0.2239,1.0
74,1,6,1,3,0.36,0.3788,0.9,0.0,1.0
40,2,2,0,1,0.52,0.5,0.72,0.1045,1.0
104,1,10,0,2,0.26,0.2576,0.41,0.194,1.0
240,4,12,1,1,0.5,0.4848,0.45,0.2985,1.0
110,2,23,1,1,0.54,0.5152,0.39,0.0896,1.0
29,4,3,0,1,0.42,0.4242,0.77,0.1343,1.0
476,1,17,1,1,0.46,0.4545,0.36,0.2239,1.0
36,4,10,1,3,0.46,0.4545,0.94,0.0,1.0
307,1,16,1,1,0.42,0.4242,0.32,0.2985,1.0
288,1,18,1,2,0.44,0.4394,0.62,0.0896,1.0
392,4,11,0,2,0.32,0.3333,0.76,0.1045,1.0
35,2,0,1,2,0.6,0.5758,0.78,0.1642,1.0
358,2,11,0,2,0.38,0.3939,0.4,0.1045,1.0
235,1,8,1,1,0.14,0.1515,0.54,0.1642,1.0
48,1,21,1,2,0.22,0.2121,0.55,0.2239,1.0
270,1,11,0,1,0.3,0.3333,0.7,0.0,1.0
612,4,16,0,2,0.56,0.5303,0.64,0.2836,1.0
268,3,7,1,2,0.66,0.6061,0.83,0.2239,1.0
356,1,17,1,2,0.44,0.4394,0.67,0.1642,1.0
114,3,6,1,1,0.54,0.5152,0.6,0.194,1.0
65,1,15,1,1,0.28,0.2727,0.52,0.2537,1.0
500,3,20,1,1,0.74,0.697,0.66,0.194,1.0
3,1,2,1,1,0.1,0.1364,0.54,0.0896,1.0
228,1,13,0,2,0.24,0.197,0.41,0.4179,1.0
5,3,3,1,1,0.72,0.6818,0.7,0.1045,1.0
139,4,6,1,2,0.3,0.2879,0.49,0.2836,1.0
9,1,1,1,2,0.32,0.303,0.93,0.2537,1.0
93,2,21,1,1,0.32,0.3333,0.53,0.1343,1.0
80,1,13,1,1,0.22,0.2576,0.25,0.0896,1.0
156,2,6,1,2,0.6,0.5455,0.88,0.1642,1.0
60,2,14,1,3,0.64,0.5758,0.89,0.2537,1.0
79,2,12,1,2,0.26,0.2727,0.25,0.0,1.0
98,4,21,1,1,0.46,0.4545,0.47,0.2537,1.0
94,4,6,1,3,0.56,0.5303,0.88,0.194,1.0
87,4,23,1,1,0.24,0.2424,0.7,0.1343,1.0
311,4,7,1,2,0.28,0.3182,0.93,0.0,1.0
65,2,0,0,1,0.62,0.5758,0.83,0.2239,1.0
305,3,7,1,1,0.7,0.6515,0.58,0.0896,1.0
342,3,7,1,1,0.6,0.5758,0.78,0.0,1.0
538,2,18,1,1,0.62,0.6212,0.51,0.3284,1.0
281,2,12,0,2,0.48,0.4697,0.77,0.1045,1.0
5,4,2,1,2,0.36,0.3333,0.66,0.2537,1.0
136,4,6,1,2,0.26,0.2576,0.65,0.2239,1.0
206,2,12,1,1,0.72,0.6667,0.54,0.3881,1.0
130,4,0,0,1,0.5,0.4848,0.63,0.3881,1.0
129,1,22,1,1,0.44,0.4394,0.35,0.2985,1.0
7,4,4,1,1,0.2,0.2273,0.75,0.0896,1.0
95,2,12,1,3,0.66,0.6061,0.83,0.2537,1.0
288,3,8,1,3,0.62,0.5455,0.94,0.1642,1.0
891,3,18,1,3,0.76,0.7121,0.62,0.2239,1.0
6,4,3,1,2,0.54,0.5152,1.0,0.194,1.0
274,3,12,1,1,0.84,0.7879,0.49,0.2836,1.0
372,4,12,0,1,0.36,0.3485,0.46,0.1642,1.0
182,4,19,0,2,0.34,0.3333,0.71,0.1343,1.0
229,3,9,0,2,0.7,0.6667,0.84,0.1343,1.0
452,3,18,1,1,0.76,0.6667,0.37,0.2985,1.0
13,2,1,1,1,0.6,0.6212,0.49,0.2537,1.0
355,3,18,1,2,0.68,0.6364,0.65,0.194,1.0
5,1,4,0,1,0.26,0.2576,0.48,0.194,1.0
614,2,17,1,1,0.44,0.4394,0.16,0.0,1.0
250,1,16,1,1,0.3,0.303,0.49,0.1343,1.0
254,3,16,1,1,0.86,0.7576,0.36,0.2836,1.0
594,1,8,1,1,0.42,0.4242,0.94,0.1343,1.0
89,4,6,1,1,0.52,0.5,0.83,0.2836,1.0
123,3,13,1,1,0.94,0.9848,0.51,0.1642,1.0
68,1,10,1,2,0.36,0.3485,0.81,0.1642,1.0
16,1,5,1,1,0.34,0.3333,0.61,0.194,1.0
207,4,22,1,3,0.54,0.5152,0.77,0.0896,1.0
353,4,15,1,2,0.6,0.6061,0.6,0.194,1.0
116,2,23,1,1,0.76,0.7424,0.75,0.194,1.0
263,1,15,1,2,0.3,0.2727,0.42,0.3881,1.0
16,4,1,1,2,0.26,0.2727,0.65,0.1045,1.0
7,3,4,1,1,0.64,0.5909,0.78,0.1343,1.0
6,3,4,1,1,0.68,0.6364,0.65,0.1045,1.0
210,3,9,1,1,0.78,0.7424,0.59,0.194,1.0
74,4,0,0,1,0.2,0.197,0.51,0.2239,1.0
128,3,23,1,1,0.7,0.6515,0.7,0.2239,1.0
655,2,17,1,1,0.52,0.5,0.23,0.4179,1.0
208,1,15,1,2,0.4,0.4091,0.71,0.1642,1.0
391,2,14,0,1,0.58,0.5455,0.78,0.3582,1.0
16,3,4,0,1,0.6,0.5909,0.73,0.0896,1.0
141,3,16,1,2,0.66,0.5909,0.89,0.0,1.0
35,2,5,1,1,0.56,0.5303,0.68,0.3284,1.0
236,4,12,1,1,0.36,0.3485,0.4,0.1642,1.0
213,2,16,1,1,0.6,0.6212,0.35,0.0,1.0
17,4,1,1,1,0.56,0.5303,0.54,0.3881,1.0
334,4,17,0,1,0.38,0.3939,0.4,0.1642,1.0
29,1,22,1,1,0.12,0.1061,0.33,0.3582,1.0
4,4,3,1,3,0.32,0.3333,0.7,0.1343,1.0
35,2,5,1,3,0.56,0.5303,0.88,0.2537,1.0
199,4,19,1,1,0.34,0.3636,0.61,0.0,1.0
578,2,14,0,1,0.5,0.4848,0.22,0.2985,1.0
452,2,17,1,1,0.74,0.6667,0.48,0.5224,1.0
56,1,20,1,1,0.16,0.1364,0.5,0.3284,1.0
434,2,19,1,1,0.6,0.6212,0.43,0.2239,1.0
79,4,1,0,2,0.58,0.5455,0.94,0.0896,1.0
784,4,18,1,2,0.5,0.4848,0.72,0.2239,1.0
68,3,22,1,3,0.66,0.5909,0.89,0.2537,1.0
4,3,1,1,3,0.62,0.5455,0.94,0.1045,1.0
124,1,9,1,1,0.24,0.2121,0.52,0.2836,1.0
6,1,3,1,2,0.28,0.303,0.75,0.0896,1.0
20,4,7,0,2,0.26,0.2576,0.56,0.2239,1.0
432,1,17,1,1,0.38,0.3939,0.4,0.4478,1.0
148,4,22,1,1,0.26,0.2879,0.6,0.0896,1.0
1,1,2,1,1,0.14,0.1515,0.86,0.1343,1.0
160,1,14,1,1,0.5,0.4848,0.29,0.3284,1.0
531,3,18,1,1,0.72,0.6667,0.54,0.2239,1.0
72,1,13,0,3,0.22,0.2273,1.0,0.1642,1.0
198,1,20,0,1,0.52,0.5,0.77,0.1343,1.0
115,1,14,1,1,0.32,0.3333,0.24,0.1343,1.0
7,1,5,0,1,0.2,0.2121,0.51,0.1343,1.0
214,2,16,0,2,0.5,0.4848,0.72,0.194,1.0
19,4,5,1,2,0.38,0.3939,0.82,0.194,1.0
18,1,7,0,1,0.08,0.0909,0.53,0.194,1.0
584,2,16,1,1,0.78,0.7121,0.52,0.2239,1.0
86,1,10,1,2,0.24,0.2576,0.6,0.0,1.0
207,3,0,0,1,0.6,0.5606,0.83,0.1045,1.0
40,2,7,0,1,0.48,0.4697,0.59,0.0,1.0
92,4,21,0,2,0.38,0.3939,0.82,0.0,1.0
135,2,23,0,1,0.66,0.5909,0.89,0.1642,1.0
10,3,4,1,2,0.52,0.5,0.68,0.3582,1.0
13,4,1,1,1,0.46,0.4545,0.77,0.2985,1.0
101,3,2,0,2,0.7,0.6515,0.54,0.1045,1.0
5,1,5,1,1,0.2,0.197,0.47,0.194,1.0
97,2,23,1,2,0.74,0.697,0.57,0.1642,1.0
28,1,0,1,1,0.26,0.303,0.81,0.0,1.0
539,4,10,0,1,0.62,0.6061,0.69,0.2836,1.0
14,3,1,1,1,0.72,0.6667,0.58,0.0,1.0
315,2,16,1,2,0.64,0.6061,0.73,0.2537,1.0
567,3,16,1,1,0.7,0.6515,0.54,0.194,1.0
11,4,3,1,2,0.62,0.5606,0.88,0.0,1.0
23,4,7,0,3,0.4,0.4091,0.87,0.2239,1.0
1,2,3,1,2,0.28,0.2727,1.0,0.194,1.0
500,4,14,0,1,0.68,0.6364,0.47,0.1642,1.0
73,3,7,0,1,0.54,0.5152,0.52,0.2836,1.0
335,2,20,1,1,0.46,0.4545,0.38,0.2985,1.0
125,4,21,1,2,0.38,0.3939,0.87,0.2537,1.0
810,4,18,1,1,0.7,0.6515,0.65,0.0,1.0
66,1,18,0,2,0.24,0.2121,0.87,0.3582,1.0
8,4,3,1,2,0.6,0.5,1.0,0.0,1.0
299,2,7,1,1,0.62,0.5909,0.78,0.1045,1.0
64,2,0,1,1,0.48,0.4697,0.67,0.1045,1.0
53,3,2,0,1,0.66,0.6061,0.78,0.2239,1.0
141,1,10,1,3,0.36,0.3485,0.81,0.1642,1.0
102,1,8,0,1,0.22,0.2727,0.87,0.0,1.0
356,4,19,1,1,0.32,0.2879,0.49,0.3582,1.0
82,4,22,0,1,0.3,0.3333,0.65,0.0,1.0
307,2,12,1,1,0.46,0.4545,0.36,0.3582,1.0
26,2,0,1,1,0.66,0.6061,0.83,0.1642,1.0
380,2,14,0,1,0.82,0.7727,0.49,0.1045,1.0
165,4,21,1,1,0.44,0.4394,0.51,0.2985,1.0
72,1,14,0,1,0.22,0.1818,0.32,0.4627,1.0
112,3,14,1,2,0.58,0.5455,0.88,0.194,1.0
108,1,7,1,1,0.16,0.1515,0.74,0.2239,1.0
190,2,14,1,1,0.88,0.803,0.39,0.194,1.0
801,2,18,1,1,0.66,0.6212,0.65,0.1642,1.0
57,1,21,0,2,0.32,0.303,0.39,0.2239,1.0
103,1,10,1,2,0.26,0.303,0.65,0.0,1.0
332,3,7,1,2,0.5,0.4848,0.82,0.2239,1.0
289,4,16,1,1,0.56,0.5303,0.46,0.1343,1.0
152,2,21,1,2,0.58,0.5455,0.83,0.0896,1.0
172,4,18,0,1,0.26,0.2576,0.38,0.2239,1.0
9,2,1,1,2,0.34,0.3333,0.76,0.1343,1.0
106,4,13,1,2,0.54,0.5152,0.94,0.2836,1.0
57,2,23,1,1,0.56,0.5303,0.88,0.0896,1.0
195,1,12,1,2,0.56,0.5303,0.49,0.3582,1.0
146,2,14,1,1,0.72,0.6667,0.54,0.2239,1.0
254,3,14,1,1,0.86,0.7273,0.25,0.3284,1.0
143,2,15,1,1,0.76,0.6667,0.23,0.5522,1.0
9,2,1,1,1,0.56,0.5303,0.88,0.1045,1.0
286,2,9,1,1,0.46,0.4545,0.31,0.3582,1.0
523,2,16,1,1,0.76,0.6667,0.29,0.2985,1.0
19,4,1,1,2,0.62,0.5455,0.94,0.0,1.0
887,4,18,1,1,0.66,0.6212,0.57,0.1045,1.0
3,4,5,0,1,0.26,0.2273,0.41,0.3284,1.0
436,3,16,1,2,0.68,0.6364,0.83,0.3284,1.0
35,1,1,0,1,0.26,0.2121,0.44,0.4478,1.0
138,1,14,1,1,0.44,0.4394,0.38,0.2537,1.0
72,3,23,1,2,0.64,0.6061,0.69,0.1045,1.0
44,3,7,0,1,0.46,0.4545,0.72,0.2239,1.0
25,2,3,0,1,0.4,0.4091,0.66,0.1343,1.0
94,1,9,1,2,0.14,0.1212,0.5,0.2537,1.0
88,4,16,1,3,0.46,0.4545,1.0,0.2537,1.0
118,3,8,0,2,0.7,0.6515,0.65,0.1642,1.0
104,1,12,0,1,0.24,0.2121,0.41,0.2836,1.0
162,2,22,1,1,0.54,0.5152,0.3,0.2537,1.0
52,2,7,0,1,0.62,0.5606,0.88,0.1642,1.0
497,3,18,1,1,0.84,0.8333,0.59,0.2239,1.0
171,3,23,1,1,0.74,0.6667,0.48,0.1343,1.0
884,4,18,1,1,0.52,0.5,0.59,0.1642,1.0
113,3,10,1,1,0.72,0.6667,0.71,0.2985,1.0
513,1,8,1,2,0.24,0.2879,0.7,0.0,1.0
161,3,0,0,1,0.74,0.7121,0.79,0.1642,1.0
39,4,23,1,3,0.3,0.2727,0.81,0.3284,1.0
471,2,16,0,2,0.72,0.6515,0.39,0.2537,1.0
72,1,6,1,2,0.42,0.4242,1.0,0.3284,1.0
182,3,16,1,3,0.9,0.8333,0.39,0.2985,1.0
81,2,2,0,1,0.52,0.5,0.77,0.1343,1.0
158,3,1,0,1,0.66,0.6061,0.83,0.1045,1.0
158,3,22,1,1,0.76,0.697,0.55,0.1343,1.0
370,4,15,0,3,0.42,0.4242,0.58,0.194,1.0
360,2,12,0,2,0.4,0.4091,0.94,0.2239,1.0
577,2,16,0,1,0.72,0.6515,0.42,0.3582,1.0
152,3,6,1,1,0.72,0.6818,0.66,0.1343,1.0
180,3,22,1,1,0.72,0.6667,0.48,0.0,1.0
341,4,7,1,1,0.26,0.2727,0.65,0.1343,1.0
50,2,23,0,1,0.46,0.4545,0.88,0.0896,1.0
182,1,8,1,1,0.4,0.4091,0.76,0.2537,1.0
9,1,23,0,2,0.22,0.197,1.0,0.4179,1.0
85,1,6,1,1,0.14,0.1212,0.59,0.2836,1.0
331,1,19,1,1,0.44,0.4394,0.51,0.0896,1.0
202,3,21,1,1,0.74,0.697,0.66,0.194,1.0
219,3,9,1,1,0.72,0.697,0.79,0.1642,1.0
81,1,11,1,2,0.32,0.303,0.57,0.2985,1.0
585,4,17,1,1,0.56,0.5303,0.37,0.1045,1.0
160,4,22,0,2,0.38,0.3939,0.94,0.1045,1.0
326,3,14,0,1,0.9,0.7727,0.24,0.1642,1.0
2,2,3,1,1,0.3,0.2879,0.49,0.2239,1.0
64,1,15,1,1,0.34,0.3636,0.34,0.0,1.0
30,3,5,1,1,0.62,0.5909,0.73,0.2836,1.0
40,1,7,1,2,0.12,0.1212,0.8,0.2836,1.0
256,3,16,1,1,0.86,0.803,0.47,0.1642,1.0
28,2,3,0,1,0.36,0.3333,0.32,0.2537,1.0
9,3,3,1,1,0.62,0.5758,0.83,0.0896,1.0
275,3,16,1,1,0.74,0.6818,0.55,0.1045,1.0
167,2,10,0,2,0.52,0.5,0.94,0.1642,1.0
479,4,10,0,1,0.58,0.5455,0.46,0.1642,1.0
7,3,2,1,1,0.68,0.6364,0.89,0.1045,1.0
5,1,4,1,1,0.16,0.1515,0.55,0.2537,1.0
34,2,1,1,1,0.64,0.6212,0.53,0.2239,1.0
20,4,2,1,2,0.6,0.5,1.0,0.1045,1.0
8,2,2,1,1,0.58,0.5455,0.88,0.1045,1.0
80,4,22,0,1,0.2,0.2121,0.75,0.1642,1.0
174,1,12,0,1,0.34,0.3333,0.46,0.0,1.0
276,1,16,1,1,0.44,0.4394,0.35,0.2537,1.0
3,2,4,1,1,0.3,0.2879,0.7,0.194,1.0
26,1,0,1,2,0.24,0.2424,0.87,0.1642,1.0
582,3,19,1,1,0.74,0.6515,0.27,0.4627,1.0
314,1,9,1,1,0.3,0.3333,0.81,0.0,1.0
268,1,16,1,2,0.34,0.3182,0.42,0.2537,1.0
64,2,2,0,1,0.64,0.5758,0.89,0.1343,1.0
53,1,18,0,2,0.36,0.3333,0.46,0.3284,1.0
237,2,12,1,1,0.8,0.7576,0.55,0.3284,1.0
4,2,3,1,1,0.4,0.4091,0.76,0.1642,1.0
80,3,23,1,1,0.62,0.6061,0.61,0.1343,1.0
128,4,11,1,2,0.54,0.5152,0.6,0.2836,1.0
594,4,18,0,1,0.56,0.5303,0.46,0.194,1.0
692,4,8,1,1,0.24,0.2121,0.6,0.2836,1.0
194,4,20,0,3,0.5,0.4848,0.72,0.1343,1.0
165,4,22,1,1,0.36,0.3485,0.57,0.1343,1.0
766,4,17,1,1,0.56,0.5303,0.64,0.2537,1.0
2,4,4,1,2,0.24,0.197,0.6,0.4627,1.0
302,4,16,1,3,0.4,0.4091,0.94,0.2537,1.0
127,3,22,0,1,0.56,0.5303,0.68,0.0896,1.0
114,4,6,1,2,0.36,0.3485,1.0,0.1343,1.0
41,2,0,1,1,0.66,0.5909,0.89,0.1343,1.0
66,4,0,0,1,0.34,0.3182,0.53,0.2537,1.0
119,4,23,1,1,0.34,0.303,0.53,0.2985,1.0
245,3,16,1,1,0.8,0.7273,0.46,0.3582,1.0
228,4,19,1,1,0.34,0.3485,0.46,0.1045,1.0
114,3,17,0,2,0.66,0.5909,0.89,0.1045,1.0
6,3,3,1,1,0.44,0.4394,0.77,0.0,1.0
346,2,8,1,2,0.34,0.3182,0.53,0.2537,1.0
93,1,10,1,1,0.3,0.2727,0.42,0.4627,1.0
145,3,22,1,1,0.68,0.6364,0.69,0.0,1.0
210,2,8,0,1,0.54,0.5152,0.64,0.1642,1.0
130,2,10,1,1,0.62,0.6212,0.46,0.2239,1.0
37,3,0,1,1,0.72,0.697,0.74,0.2537,1.0
173,4,6,1,1,0.48,0.4697,0.82,0.1045,1.0
743,3,8,1,1,0.74,0.697,0.7,0.194,1.0
98,2,11,1,2,0.4,0.4091,0.62,0.3881,1.0
49,1,10,1,3,0.42,0.4242,0.94,0.3284,1.0
6,1,5,0,2,0.4,0.4091,0.94,0.1045,1.0
241,4,19,1,1,0.28,0.303,0.61,0.0896,1.0
169,4,9,0,1,0.42,0.4242,0.67,0.0896,1.0
272,2,9,1,2,0.3,0.2727,0.75,0.3881,1.0
33,2,7,0,1,0.32,0.303,0.57,0.2239,1.0
270,2,7,1,1,0.58,0.5455,0.83,0.2985,1.0
82,4,9,1,3,0.46,0.4545,0.94,0.0,1.0
280,2,20,1,1,0.44,0.4394,0.33,0.2537,1.0
239,2,13,1,1,0.62,0.6212,0.29,0.2537,1.0
131,3,1,0,1,0.64,0.6061,0.65,0.0,1.0
98,1,13,1,2,0.38,0.3939,0.25,0.1045,1.0
219,2,9,1,2,0.6,0.5758,0.78,0.2537,1.0
133,4,23,0,2,0.3,0.3182,0.7,0.1045,1.0
34,3,0,1,1,0.62,0.5909,0.73,0.1045,1.0
7,3,4,1,1,0.6,0.5758,0.78,0.1045,1.0
121,4,6,1,1,0.22,0.2727,0.69,0.0,1.0
111,4,10,1,2,0.5,0.4848,0.63,0.2836,1.0
8,4,4,1,1,0.56,0.5303,0.94,0.1343,1.0
14,3,1,1,2,0.54,0.5152,0.88,0.1642,1.0
44,2,14,1,2,0.5,0.4848,0.82,0.2836,1.0
17,1,7,0,1,0.22,0.2273,0.69,0.1343,1.0
85,4,21,1,1,0.36,0.3788,0.71,0.0,1.0
362,2,20,1,2,0.62,0.5909,0.73,0.1343,1.0
27,3,6,0,1,0.7,0.6667,0.79,0.0896,1.0
11,4,7,0,1,0.24,0.2273,0.65,0.194,1.0
320,3,9,1,2,0.82,0.7727,0.49,0.2239,1.0
380,4,17,1,2,0.34,0.303,0.49,0.3284,1.0
4,2,3,1,2,0.64,0.5606,0.94,0.0,1.0
243,4,17,0,2,0.38,0.3939,0.82,0.1045,1.0
146,2,23,1,1,0.72,0.697,0.74,0.1642,1.0
108,2,22,1,2,0.46,0.4545,0.41,0.4925,1.0
558,3,18,1,1,0.82,0.7727,0.49,0.3582,1.0
11,3,4,0,1,0.7,0.6667,0.79,0.194,1.0
308,2,19,1,1,0.58,0.5455,0.83,0.2537,1.0
94,2,1,0,2,0.54,0.5152,0.68,0.1343,1.0
32,3,6,0,1,0.62,0.6061,0.69,0.1045,1.0
